epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,287301,0.44783,0.97439,0.00659,0.88303,0.88051,0.90593,0.83831,0.39074,0.40957,0.00867,0.016972,0.00565733,0.016972,0.00565733,0.016972,0.00565733,0.016972,0.00565733
68,291625,0.44391,0.97053,0.00653,0.88197,0.88032,0.90875,0.83984,0.38691,0.40647,0.00853,0.0167746,0.00559153,0.0167746,0.00559153,0.0167746,0.00559153,0.0167746,0.00559153
69,294878,0.44747,0.98155,0.00659,0.87592,0.87465,0.91,0.83922,0.3814,0.4099,0.00832,0.0165772,0.00552574,0.0165772,0.00552574,0.0165772,0.00552574,0.0165772,0.00552574
70,299696,0.44526,0.97396,0.00658,0.9579,0.87233,0.90857,0.84041,0.37834,0.40506,0.00821,0.0163798,0.00545994,0.0163798,0.00545994,0.0163798,0.00545994,0.0163798,0.00545994
71,304182,0.43976,0.94605,0.00647,0.87971,0.88202,0.90715,0.84081,0.37479,0.40241,0.00808,0.0161824,0.00539414,0.0161824,0.00539414,0.0161824,0.00539414,0.0161824,0.00539414
72,308328,0.43981,0.93906,0.00649,0.8807,0.88112,0.90842,0.84332,0.37242,0.39063,0.00799,0.015985,0.00532834,0.015985,0.00532834,0.015985,0.00532834,0.015985,0.00532834
73,311884,0.43512,0.94449,0.0064,0.88169,0.88228,0.91004,0.84435,0.37163,0.38733,0.00795,0.0157876,0.00526254,0.0157876,0.00526254,0.0157876,0.00526254,0.0157876,0.00526254
74,316906,0.43352,0.93544,0.00639,0.88095,0.88071,0.90875,0.84335,0.37049,0.38986,0.00792,0.0155902,0.00519675,0.0155902,0.00519675,0.0155902,0.00519675,0.0155902,0.00519675
75,321281,0.43377,0.94338,0.00635,0.87114,0.87682,0.90602,0.84376,0.37062,0.3964,0.00794,0.0153928,0.00513095,0.0153928,0.00513095,0.0153928,0.00513095,0.0153928,0.00513095
76,325226,0.42774,0.92614,0.00634,0.87557,0.87971,0.90624,0.84247,0.37159,0.39641,0.00797,0.0151955,0.00506515,0.0151955,0.00506515,0.0151955,0.00506515,0.0151955,0.00506515
77,329052,0.43232,0.92598,0.00631,0.87694,0.87813,0.90415,0.83966,0.37087,0.39434,0.00796,0.0149981,0.00499935,0.0149981,0.00499935,0.0149981,0.00499935,0.0149981,0.00499935
78,334348,0.42744,0.91759,0.00625,0.87698,0.87929,0.90757,0.84218,0.37101,0.38903,0.00797,0.0148007,0.00493355,0.0148007,0.00493355,0.0148007,0.00493355,0.0148007,0.00493355
79,338817,0.43358,0.92126,0.00636,0.88086,0.88268,0.9069,0.84384,0.37152,0.38163,0.008,0.0146033,0.00486776,0.0146033,0.00486776,0.0146033,0.00486776,0.0146033,0.00486776
80,341817,0.42444,0.89415,0.0062,0.96492,0.8721,0.90691,0.8448,0.37177,0.37907,0.00801,0.0144059,0.00480196,0.0144059,0.00480196,0.0144059,0.00480196,0.0144059,0.00480196
81,345182,0.42072,0.88732,0.00611,0.95921,0.8749,0.90654,0.84427,0.37154,0.38645,0.008,0.0142085,0.00473616,0.0142085,0.00473616,0.0142085,0.00473616,0.0142085,0.00473616
82,350851,0.42079,0.87984,0.00615,0.96534,0.86919,0.90695,0.84514,0.37143,0.38462,0.008,0.0140111,0.00467036,0.0140111,0.00467036,0.0140111,0.00467036,0.0140111,0.00467036
83,355158,0.42323,0.87753,0.00615,0.96095,0.86831,0.90635,0.84364,0.37057,0.38305,0.00797,0.0138137,0.00460456,0.0138137,0.00460456,0.0138137,0.00460456,0.0138137,0.00460456
84,358753,0.42176,0.88268,0.00615,0.96359,0.87426,0.90793,0.84555,0.37045,0.38161,0.00797,0.0136163,0.00453877,0.0136163,0.00453877,0.0136163,0.00453877,0.0136163,0.00453877
85,361920,0.41643,0.87757,0.00606,0.96459,0.87346,0.9072,0.84425,0.369,0.38675,0.00791,0.0134189,0.00447297,0.0134189,0.00447297,0.0134189,0.00447297,0.0134189,0.00447297
86,366445,0.4195,0.87416,0.00612,0.88316,0.86992,0.90696,0.8446,0.36958,0.38609,0.00792,0.0132215,0.00440717,0.0132215,0.00440717,0.0132215,0.00440717,0.0132215,0.00440717
87,370891,0.41565,0.86987,0.00605,0.8775,0.87366,0.9061,0.84343,0.36871,0.3892,0.00791,0.0130241,0.00434137,0.0130241,0.00434137,0.0130241,0.00434137,0.0130241,0.00434137
88,375007,0.40677,0.84294,0.00586,0.96031,0.87101,0.90613,0.84404,0.3682,0.38492,0.00788,0.0128267,0.00427557,0.0128267,0.00427557,0.0128267,0.00427557,0.0128267,0.00427557
89,378896,0.41118,0.84358,0.00596,0.8807,0.87108,0.90524,0.8434,0.36778,0.38585,0.00786,0.0126293,0.00420978,0.0126293,0.00420978,0.0126293,0.00420978,0.0126293,0.00420978
90,383829,0.41046,0.85498,0.00593,0.96541,0.86296,0.90545,0.8436,0.36754,0.38713,0.00785,0.0124319,0.00414398,0.0124319,0.00414398,0.0124319,0.00414398,0.0124319,0.00414398
91,388929,0.4105,0.84779,0.00592,0.87684,0.86705,0.90593,0.84387,0.36675,0.38958,0.00782,0.0122345,0.00407818,0.0122345,0.00407818,0.0122345,0.00407818,0.0122345,0.00407818
92,392246,0.40429,0.83144,0.00583,0.96222,0.86805,0.90528,0.84349,0.36668,0.38833,0.00783,0.0120371,0.00401238,0.0120371,0.00401238,0.0120371,0.00401238,0.0120371,0.00401238
93,395968,0.40871,0.82274,0.00592,0.95534,0.87244,0.90497,0.84381,0.36638,0.39131,0.00781,0.0118398,0.00394658,0.0118398,0.00394658,0.0118398,0.00394658,0.0118398,0.00394658
94,400494,0.39691,0.81219,0.00574,0.95875,0.87094,0.90639,0.84557,0.36627,0.38791,0.00781,0.0116424,0.00388079,0.0116424,0.00388079,0.0116424,0.00388079,0.0116424,0.00388079
95,405227,0.40008,0.82065,0.00573,0.96102,0.87094,0.90668,0.84548,0.36607,0.38213,0.0078,0.011445,0.00381499,0.011445,0.00381499,0.011445,0.00381499,0.011445,0.00381499
96,409023,0.39931,0.81671,0.00579,0.88363,0.87018,0.90653,0.84641,0.3659,0.38266,0.0078,0.0112476,0.00374919,0.0112476,0.00374919,0.0112476,0.00374919,0.0112476,0.00374919
