epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6385.08,0.55583,0.39808,0.00912,0.91909,0.81674,0.85836,0.76464,0.5597,0.41784,0.01099,0.000266125,0.000266125,0.000266125
60,6483.89,0.55418,0.40879,0.00921,0.92892,0.83335,0.86775,0.77912,0.55664,0.40071,0.0109,0.000259938,0.000259938,0.000259938
61,6583.27,0.55203,0.4068,0.00902,0.85902,0.84082,0.87204,0.7799,0.56671,0.36301,0.0111,0.00025375,0.00025375,0.00025375
62,6682.67,0.55107,0.40832,0.00909,0.84184,0.81281,0.85461,0.76687,0.55772,0.41229,0.01098,0.000247563,0.000247563,0.000247563
63,6781.53,0.56359,0.41402,0.00909,0.84528,0.83423,0.85427,0.77178,0.55402,0.36892,0.01081,0.000241375,0.000241375,0.000241375
64,6885.09,0.55129,0.38977,0.00901,0.91624,0.82632,0.85943,0.77607,0.55679,0.37678,0.01098,0.000235188,0.000235188,0.000235188
65,6988.25,0.54533,0.39686,0.00896,0.84297,0.84039,0.86259,0.78446,0.53886,0.3608,0.01049,0.000229,0.000229,0.000229
66,7092.98,0.54828,0.41213,0.00867,0.93261,0.82572,0.86996,0.79034,0.54144,0.36692,0.01054,0.000222813,0.000222813,0.000222813
67,7195.17,0.54456,0.3851,0.00888,0.93989,0.83686,0.86596,0.78229,0.54311,0.35404,0.01055,0.000216625,0.000216625,0.000216625
68,7295.2,0.52279,0.38984,0.00848,0.92623,0.83455,0.86533,0.78332,0.55121,0.3613,0.0107,0.000210437,0.000210437,0.000210437
69,7402.6,0.5287,0.37507,0.0084,0.84294,0.83859,0.86422,0.77666,0.54656,0.36669,0.01063,0.00020425,0.00020425,0.00020425
70,7509.33,0.52647,0.37463,0.0085,0.84822,0.83932,0.86611,0.78587,0.53856,0.37617,0.01049,0.000198063,0.000198063,0.000198063
