epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,10513.5,0.4728,0.49121,0.4107,0.00512,0.43436,0.97974,0.94721,0.99121,0.94843,0.98041,0.94661,0.98881,0.95531,0.3425,0.37423,0.18933,0.00751,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10831.9,0.4726,0.48406,0.40752,0.00507,0.4165,0.97773,0.94897,0.99024,0.94826,0.97754,0.94878,0.9884,0.95758,0.3389,0.37579,0.19554,0.00745,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11150.3,0.46256,0.4798,0.41063,0.00495,0.42793,0.97324,0.94849,0.99004,0.94784,0.98486,0.93754,0.98864,0.9546,0.33788,0.37269,0.20106,0.00747,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11467.3,0.4638,0.47368,0.40007,0.00494,0.40339,0.97427,0.96072,0.99111,0.95011,0.98357,0.9497,0.98978,0.95849,0.33991,0.37854,0.18552,0.00749,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11783.9,0.45958,0.47071,0.38631,0.00497,0.3896,0.96837,0.96357,0.99125,0.95297,0.97857,0.95388,0.98958,0.9589,0.33152,0.36778,0.18095,0.00722,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12100.6,0.45757,0.46992,0.38628,0.00495,0.40231,0.97778,0.96486,0.99197,0.95168,0.97899,0.96123,0.99037,0.9582,0.32658,0.36945,0.17039,0.00716,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12417.3,0.45517,0.47106,0.38514,0.00478,0.38982,0.967,0.96075,0.99079,0.95413,0.97866,0.94796,0.9899,0.95908,0.32338,0.36362,0.18331,0.00706,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12734.9,0.45141,0.46416,0.38136,0.00485,0.36851,0.97826,0.95977,0.99197,0.95645,0.97826,0.95713,0.99063,0.96152,0.32256,0.36394,0.17301,0.00709,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13054.1,0.44881,0.46531,0.38876,0.00477,0.38859,0.98662,0.959,0.99281,0.9558,0.98669,0.95845,0.99125,0.961,0.32498,0.3614,0.16061,0.00719,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13374.3,0.45051,0.46891,0.37064,0.00485,0.36151,0.98442,0.95674,0.99221,0.95656,0.98461,0.95447,0.99107,0.96257,0.3102,0.36339,0.16765,0.00668,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13693.9,0.44214,0.46366,0.36722,0.0047,0.36497,0.97664,0.96121,0.99241,0.95832,0.98432,0.95352,0.99127,0.96264,0.31539,0.36637,0.16504,0.00679,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14014.1,0.44667,0.47149,0.37506,0.00477,0.37135,0.98549,0.96021,0.9928,0.95579,0.98702,0.95639,0.99173,0.95996,0.32104,0.36354,0.15805,0.00701,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14335.6,0.44559,0.46525,0.37344,0.00473,0.37859,0.98115,0.96035,0.99223,0.95819,0.98235,0.95609,0.99136,0.96299,0.31378,0.3541,0.16215,0.00684,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14655.4,0.43824,0.45559,0.35159,0.00464,0.34238,0.9752,0.96929,0.99295,0.9592,0.97718,0.9647,0.99176,0.96365,0.3135,0.35707,0.15702,0.00679,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14975.1,0.43956,0.46214,0.3544,0.00464,0.34479,0.97643,0.96159,0.992,0.95818,0.97637,0.95826,0.99096,0.96155,0.31083,0.35329,0.17049,0.00682,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15294.6,0.43287,0.45775,0.35406,0.00461,0.33,0.97371,0.96829,0.99299,0.95953,0.98223,0.95932,0.9922,0.96436,0.31411,0.35212,0.16292,0.007,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15612.6,0.42431,0.43548,0.3356,0.00455,0.32009,0.98033,0.96381,0.99265,0.96178,0.98152,0.96269,0.99184,0.96481,0.30235,0.35679,0.15471,0.00653,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15930.3,0.43426,0.44928,0.35785,0.00459,0.34277,0.98444,0.96116,0.993,0.95762,0.98445,0.95953,0.99178,0.96262,0.31501,0.35941,0.15781,0.00698,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16250.1,0.43291,0.45039,0.34358,0.00461,0.32229,0.97355,0.95741,0.99146,0.95847,0.9746,0.95532,0.9909,0.96318,0.30726,0.3511,0.17786,0.0067,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16568.1,0.42969,0.44528,0.34598,0.00457,0.32526,0.97247,0.96274,0.99215,0.96078,0.97508,0.95756,0.99117,0.96342,0.30198,0.35553,0.17116,0.00657,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16886.7,0.42473,0.43999,0.34359,0.00444,0.31556,0.97662,0.96367,0.99262,0.96035,0.976,0.96242,0.99169,0.96277,0.3044,0.35625,0.15945,0.00666,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17204.9,0.43118,0.44325,0.3392,0.00457,0.30984,0.97204,0.96838,0.99229,0.95872,0.97302,0.96668,0.99195,0.96398,0.31004,0.34541,0.16056,0.00675,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17524.3,0.41923,0.42717,0.33412,0.00449,0.30285,0.97163,0.97158,0.99262,0.96044,0.98006,0.96062,0.99094,0.96416,0.30022,0.36341,0.15659,0.00647,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17843.9,0.41853,0.44455,0.33493,0.00438,0.32093,0.9746,0.96936,0.99281,0.96237,0.98664,0.95481,0.99225,0.9647,0.29748,0.35434,0.15549,0.00643,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,18162.8,0.42147,0.43745,0.33442,0.00451,0.29648,0.97801,0.97147,0.99316,0.96271,0.97678,0.96828,0.99245,0.96586,0.29984,0.35415,0.14873,0.00652,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18482.4,0.4183,0.43574,0.33035,0.00443,0.31533,0.97949,0.97604,0.99357,0.9648,0.97806,0.97391,0.99313,0.96638,0.2988,0.35357,0.14001,0.00648,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18802,0.41139,0.4303,0.31364,0.00431,0.28433,0.98492,0.97255,0.99366,0.9658,0.98471,0.96873,0.9928,0.96643,0.29291,0.35274,0.14036,0.0063,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19119.3,0.40943,0.4292,0.31625,0.00428,0.29364,0.98147,0.97289,0.99366,0.96639,0.98119,0.96905,0.99313,0.96648,0.28934,0.34867,0.13784,0.00617,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19436.7,0.40536,0.42673,0.31206,0.00421,0.2861,0.98376,0.96472,0.99338,0.96694,0.98354,0.96411,0.99273,0.96756,0.28397,0.34828,0.13812,0.00601,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19751.7,0.40353,0.4245,0.30666,0.00414,0.26342,0.97867,0.9744,0.99355,0.96577,0.97789,0.97048,0.99273,0.96719,0.2883,0.34878,0.13796,0.00617,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20066.8,0.39456,0.42218,0.30405,0.00402,0.26843,0.98471,0.97193,0.99375,0.96706,0.98279,0.96907,0.9931,0.96833,0.28149,0.34284,0.13688,0.00594,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20381.7,0.39658,0.41917,0.30151,0.00411,0.27003,0.9845,0.97427,0.99386,0.96798,0.98616,0.96938,0.99324,0.96914,0.28185,0.34217,0.13652,0.00597,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20697.4,0.39702,0.41822,0.30094,0.00409,0.26877,0.98549,0.96728,0.99354,0.96759,0.98315,0.96451,0.99192,0.96848,0.28276,0.35437,0.13761,0.00595,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,21013,0.39168,0.41919,0.28956,0.00404,0.25982,0.98121,0.97779,0.99372,0.96881,0.98019,0.97377,0.99319,0.96896,0.27842,0.34465,0.13452,0.00586,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21329.9,0.38607,0.40979,0.2855,0.00396,0.25103,0.98266,0.97525,0.99395,0.96969,0.98369,0.96921,0.99336,0.97002,0.27611,0.34337,0.13565,0.00581,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,21645.9,0.38586,0.41359,0.28091,0.00398,0.25324,0.98418,0.97695,0.99405,0.96946,0.98308,0.97415,0.99363,0.96943,0.27586,0.34112,0.12947,0.00581,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21962.6,0.38433,0.41146,0.28237,0.00391,0.24316,0.984,0.97251,0.99362,0.96926,0.98394,0.97051,0.99322,0.96954,0.27345,0.34135,0.13392,0.00576,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,22279.3,0.38331,0.40643,0.27919,0.00393,0.23933,0.9857,0.97456,0.99408,0.96956,0.98478,0.97178,0.99357,0.97,0.27417,0.34382,0.12753,0.00581,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,22597.1,0.37943,0.40941,0.2848,0.00389,0.25392,0.983,0.98143,0.99424,0.97098,0.98959,0.97233,0.99363,0.97059,0.26895,0.33898,0.12476,0.00564,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22914.5,0.38344,0.41263,0.28786,0.00393,0.24655,0.98552,0.97581,0.99414,0.97099,0.98386,0.97466,0.99334,0.97092,0.27168,0.34358,0.12477,0.00568,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23230.9,0.37422,0.4023,0.2771,0.0038,0.24694,0.98381,0.98,0.99425,0.97117,0.98702,0.97468,0.99382,0.97088,0.2707,0.34285,0.12268,0.00566,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,23547.6,0.37506,0.40898,0.2802,0.00383,0.24291,0.98606,0.97993,0.99427,0.97159,0.98865,0.97334,0.99375,0.97211,0.26948,0.34426,0.12136,0.00563,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,23865.7,0.37003,0.40214,0.26509,0.00376,0.2303,0.98944,0.97605,0.99433,0.97182,0.98773,0.97342,0.99368,0.97185,0.26905,0.34573,0.12187,0.00559,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
