epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,103286,0.52463,0.52997,0.00826,0.94813,0.86978,0.88273,0.79803,0.45811,0.36061,0.00808,0.0131228,0.00437427,0.0131228,0.00437427,0.0131228,0.00437427,0.0131228,0.00437427
59,104904,0.52097,0.52861,0.00817,0.95133,0.87063,0.88654,0.79371,0.45656,0.33712,0.0081,0.0128267,0.00427557,0.0128267,0.00427557,0.0128267,0.00427557,0.0128267,0.00427557
60,107194,0.52112,0.52387,0.00824,0.86269,0.8692,0.8838,0.7967,0.45505,0.32727,0.00804,0.0125306,0.00417688,0.0125306,0.00417688,0.0125306,0.00417688,0.0125306,0.00417688
61,108712,0.52706,0.52403,0.00831,0.95198,0.87016,0.88441,0.80291,0.45977,0.3339,0.00809,0.0122345,0.00407818,0.0122345,0.00407818,0.0122345,0.00407818,0.0122345,0.00407818
62,110203,0.51064,0.5174,0.00795,0.94259,0.87448,0.87899,0.79435,0.45337,0.34909,0.00794,0.0119384,0.00397948,0.0119384,0.00397948,0.0119384,0.00397948,0.0119384,0.00397948
63,111679,0.52058,0.51874,0.00815,0.95148,0.86783,0.88033,0.79707,0.44913,0.3523,0.00785,0.0116424,0.00388079,0.0116424,0.00388079,0.0116424,0.00388079,0.0116424,0.00388079
64,113660,0.51596,0.50441,0.0081,0.95756,0.86489,0.8819,0.80192,0.44993,0.34412,0.00787,0.0113463,0.00378209,0.0113463,0.00378209,0.0113463,0.00378209,0.0113463,0.00378209
65,114994,0.50009,0.49823,0.00779,0.95402,0.85721,0.88081,0.80693,0.43914,0.34917,0.00761,0.0110502,0.00368339,0.0110502,0.00368339,0.0110502,0.00368339,0.0110502,0.00368339
66,116919,0.50037,0.48,0.0078,0.95184,0.86142,0.87756,0.79901,0.44104,0.34859,0.00761,0.0107541,0.0035847,0.0107541,0.0035847,0.0107541,0.0035847,0.0107541,0.0035847
67,118296,0.48752,0.47479,0.00764,0.86082,0.86253,0.87922,0.80634,0.43372,0.35346,0.00743,0.010458,0.003486,0.010458,0.003486,0.010458,0.003486,0.010458,0.003486
68,120375,0.49235,0.4843,0.00772,0.95305,0.86049,0.87892,0.8065,0.43563,0.36176,0.00751,0.0101619,0.0033873,0.0101619,0.0033873,0.0101619,0.0033873,0.0101619,0.0033873
69,121992,0.48235,0.45545,0.00756,0.94988,0.86706,0.87624,0.79898,0.44104,0.35911,0.00759,0.00986581,0.0032886,0.00986581,0.0032886,0.00986581,0.0032886,0.00986581,0.0032886
70,123633,0.4842,0.46707,0.00758,0.95615,0.87164,0.88168,0.80388,0.4325,0.35386,0.00738,0.00956972,0.00318991,0.00956972,0.00318991,0.00956972,0.00318991,0.00956972,0.00318991
71,125191,0.47615,0.47112,0.00734,0.88096,0.87062,0.87922,0.80103,0.4319,0.32643,0.00749,0.00927363,0.00309121,0.00927363,0.00309121,0.00927363,0.00309121,0.00927363,0.00309121
72,127029,0.47177,0.46246,0.00742,0.87808,0.86225,0.8842,0.80795,0.43037,0.34069,0.00741,0.00897754,0.00299251,0.00897754,0.00299251,0.00897754,0.00299251,0.00897754,0.00299251
